Tag,Description,hasattr,hasglobal,hasevent,hasother,root,stem
<legend>,Defines a caption for a <fieldset> element,1,1,1,1,http://www.w3schools.com/tags/tag_,legend.asp
<li>,Defines a list item,1,1,1,1,http://www.w3schools.com/tags/tag_,li.asp
<link>,"Defines the relationship between a document and an external resource (most used to link to style sheets)",1,1,1,1,http://www.w3schools.com/tags/tag_,link.asp
<main>,Specifies the main content of a document,1,1,1,0,http://www.w3schools.com/tags/tag_,main.asp
<map>,Defines a client-side image-map,1,1,1,1,http://www.w3schools.com/tags/tag_,map.asp
<mark>,Defines marked/highlighted text,1,1,1,0,http://www.w3schools.com/tags/tag_,mark.asp
<menu>,Defines a list/menu of commands,1,1,1,1,http://www.w3schools.com/tags/tag_,menu.asp
<menuitem>,Defines a command/menu item that the user can invoke from a popup menu,1,1,1,1,http://www.w3schools.com/tags/tag_,menuitem.asp
<meta>,Defines metadata about an HTML document,1,1,0,1,http://www.w3schools.com/tags/tag_,meta.asp
<meter>,Defines a scalar measurement within a known range (a gauge),1,1,1,1,http://www.w3schools.com/tags/tag_,meter.asp
<nav>,Defines navigation links,1,1,1,0,http://www.w3schools.com/tags/tag_,nav.asp
<noframes>,Not supported in HTML5.Defines an alternate content for users that do not support frames,0,0,0,0,http://www.w3schools.com/tags/tag_,noframes.asp
<noscript>,"Defines an alternate content for users that do not support client-side scripts",1,1,0,0,http://www.w3schools.com/tags/tag_,noscript.asp
<object>,Defines an embedded object,1,1,1,1,http://www.w3schools.com/tags/tag_,object.asp
<ol>,Defines an ordered list,1,1,1,1,http://www.w3schools.com/tags/tag_,ol.asp
<optgroup>,Defines a group of related options in a drop-down list,1,1,1,1,http://www.w3schools.com/tags/tag_,optgroup.asp
<option>,Defines an option in a drop-down list,1,1,1,1,http://www.w3schools.com/tags/tag_,option.asp
<output>,Defines the result of a calculation,1,1,1,1,http://www.w3schools.com/tags/tag_,output.asp
<p>,Defines a paragraph,1,1,1,1,http://www.w3schools.com/tags/tag_,p.asp
<param>,Defines a parameter for an object,1,1,1,1,http://www.w3schools.com/tags/tag_,param.asp
<pre>,Defines preformatted text,1,1,1,1,http://www.w3schools.com/tags/tag_,pre.asp
<progress>,Represents the progress of a task,1,1,1,1,http://www.w3schools.com/tags/tag_,progress.asp
<q>,Defines a short quotation,1,1,1,1,http://www.w3schools.com/tags/tag_,q.asp
<rp>,Defines what to show in browsers that do not support ruby annotations,1,1,1,0,http://www.w3schools.com/tags/tag_,rp.asp
<rt>,"Defines an explanation/pronunciation of characters (for East Asian typography)",1,1,1,0,http://www.w3schools.com/tags/tag_,rt.asp
<ruby>,Defines a ruby annotation (for East Asian typography),1,1,1,0,http://www.w3schools.com/tags/tag_,ruby.asp
<s>,Defines text that is no longer correct,1,1,1,0,http://www.w3schools.com/tags/tag_,s.asp
<samp>,Defines sample output from a computer program,1,1,1,0,http://www.w3schools.com/tags/tag_,samp.asp
<script>,Defines a client-side script,1,1,0,1,http://www.w3schools.com/tags/tag_,script.asp
<section>,Defines a section in a document,1,1,1,0,http://www.w3schools.com/tags/tag_,section.asp
<select>,Defines a drop-down list,1,1,1,1,http://www.w3schools.com/tags/tag_,select.asp
<small>,Defines smaller text,1,1,1,0,http://www.w3schools.com/tags/tag_,small.asp
<source>,Defines multiple media resources for media elements (<video> and <audio>),1,1,1,1,http://www.w3schools.com/tags/tag_,source.asp
<span>,Defines a section in a document,1,1,1,0,http://www.w3schools.com/tags/tag_,span.asp
<strike>,Not supported in HTML5. Use <del> or <s> instead.Defines strikethrough text,0,0,0,0,http://www.w3schools.com/tags/tag_,strike.asp
<strong>,Defines important text,1,1,1,0,http://www.w3schools.com/tags/tag_,strong.asp
<style>,Defines style information for a document,1,1,1,1,http://www.w3schools.com/tags/tag_,style.asp
<sub>,Defines subscripted text,1,1,1,0,http://www.w3schools.com/tags/tag_,sub.asp
<summary>,Defines a visible heading for a <details> element,1,1,1,0,http://www.w3schools.com/tags/tag_,summary.asp
<sup>,Defines superscripted text,1,1,1,0,http://www.w3schools.com/tags/tag_,sup.asp
<table>,Defines a table,1,1,1,1,http://www.w3schools.com/tags/tag_,table.asp
<tbody>,Groups the body content in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,tbody.asp
<td>,Defines a cell in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,td.asp
<textarea>,Defines a multiline input control (text area),1,1,1,1,http://www.w3schools.com/tags/tag_,textarea.asp
<tfoot>,Groups the footer content in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,tfoot.asp
<th>,Defines a header cell in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,th.asp
<thead>,Groups the header content in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,thead.asp
<time>,Defines a date/time,1,1,1,1,http://www.w3schools.com/tags/tag_,time.asp
<title>,Defines a title for the document,0,0,0,0,http://www.w3schools.com/tags/tag_,title.asp
<tr>,Defines a row in a table,1,1,1,1,http://www.w3schools.com/tags/tag_,tr.asp
<track>,Defines text tracks for media elements (<video> and <audio>),1,1,1,1,http://www.w3schools.com/tags/tag_,track.asp
<tt>,Not supported in HTML5. Use CSS instead.Defines teletype text,0,0,0,0,http://www.w3schools.com/tags/tag_,tt.asp
<u>,Defines text that should be stylistically different from normal text,1,1,1,0,http://www.w3schools.com/tags/tag_,u.asp
<ul>,Defines an unordered list,1,1,1,1,http://www.w3schools.com/tags/tag_,ul.asp
<var>,Defines a variable,1,1,1,0,http://www.w3schools.com/tags/tag_,var.asp
<video>,Defines a video or movie,1,1,1,1,http://www.w3schools.com/tags/tag_,video.asp
<wbr>,Defines a possible line-break,1,1,1,0,http://www.w3schools.com/tags/tag_,wbr.asp
